season,location,lat,lon,state,date_report,month
2014/2015,Alto Piquiri,-24.028,-53.441,PR,2015-01-16,Jan
2014/2015,Alvorada do Sul,-22.78,-51.231,PR,2015-02-04,Feb
2014/2015,Arapoti,-24.158,-49.827,PR,2014-12-12,Dec
2014/2015,Arroio Grande,-32.238,-53.087,RS,2015-02-25,Feb
2014/2015,Assis Chateaubriand,-24.42,-53.521,PR,2015-01-15,Jan
2014/2015,Bagé,-31.331,-54.107,RS,2015-02-25,Feb
2014/2015,Boa Esperança,-24.242,-52.789,PR,2014-12-04,Dec
2014/2015,Boa Ventura de São Roque,-24.869,-51.628,PR,2015-01-06,Jan
2014/2015,Boa Vista do Cadeado,-28.607,-53.815,RS,2015-01-19,Jan
2014/2015,Bossoroca,-28.73,-54.9,RS,2015-01-12,Jan
2014/2015,Bozano,-28.368,-53.771,RS,2015-01-25,Jan
2014/2015,Caçapava do Sul,-30.512,-53.491,RS,2015-02-25,Feb
2014/2015,Cachoeira do Sul,-30.039,-52.894,RS,2015-02-02,Feb
2014/2015,Cafelândia,-24.618,-53.32,PR,2015-01-06,Jan
2014/2015,Cambé,-23.276,-51.278,PR,2015-01-22,Jan
2014/2015,Campinas do Sul,-27.716,-52.628,RS,2015-02-17,Feb
2014/2015,Campo Largo,-25.459,-49.528,PR,2015-02-22,Feb
2014/2015,Campo Mourão,-24.046,-52.383,PR,2015-01-16,Jan
2014/2015,Campo Novo,-27.675,-53.803,RS,2015-01-12,Jan
2014/2015,Candelária,-29.669,-52.789,RS,2015-03-02,Mar
2014/2015,Candói,-25.663,-52.126,PR,2015-01-14,Jan
2014/2015,Capão do Leão,-31.763,-52.484,RS,2015-02-25,Feb
2014/2015,Capivari do Sul,-30.145,-50.515,RS,2015-02-25,Feb
2014/2015,Carambeí,-24.918,-50.097,PR,2014-12-17,Dec
2014/2015,Carazinho,-28.284,-52.786,RS,2015-02-17,Feb
2014/2015,Cascavel,-24.956,-53.455,PR,2014-12-05,Dec
2014/2015,Castro,-24.791,-50.012,PR,2014-12-19,Dec
2014/2015,Céu Azul,-25.147,-53.849,PR,2015-01-08,Jan
2014/2015,Chapada,-28.055,-53.068,RS,2015-01-13,Jan
2014/2015,Coxilha,-28.127,-52.296,RS,2015-01-16,Jan
2014/2015,Cruz Alta,-28.639,-53.606,RS,2015-01-19,Jan
2014/2015,Dom Pedrito,-30.983,-54.673,RS,2015-02-25,Feb
2014/2015,Doutor Maurício Cardoso,-27.506,-54.361,RS,2015-01-29,Jan
2014/2015,Encruzilhada do Sul,-30.544,-52.522,RS,2015-02-25,Feb
2014/2015,Entre Rios do Sul,-27.528,-52.733,RS,2015-02-17,Feb
2014/2015,Erebango,-27.855,-52.302,RS,2015-01-25,Jan
2014/2015,Erechim,-27.634,-52.274,RS,2015-02-03,Feb
2014/2015,Esmeralda,-28.054,-51.19,RS,2015-02-24,Feb
2014/2015,Espumoso,-28.725,-52.85,RS,2015-02-18,Feb
2014/2015,Estação,-27.911,-52.26,RS,2015-02-17,Feb
2014/2015,Faxinal,-24.001,-51.32,PR,2015-01-15,Jan
2014/2015,Fortaleza dos Valos,-28.797,-53.223,RS,2015-01-16,Jan
2014/2015,Goioerê,-24.185,-53.028,PR,2015-01-09,Jan
2014/2015,Guaíra,-24.08,-54.256,PR,2015-02-11,Feb
2014/2015,Honório Serpa,-26.141,-52.387,PR,2015-01-09,Jan
2014/2015,Ibirubá,-28.628,-53.09,RS,2015-02-18,Feb
2014/2015,Iguaraçu,-23.197,-51.828,PR,2015-01-23,Jan
2014/2015,Ijuí,-28.388,-53.915,RS,2015-02-24,Feb
2014/2015,Ipiranga do Sul,-27.937,-52.426,RS,2015-01-25,Jan
2014/2015,Itaqui,-29.125,-56.553,RS,2015-03-02,Mar
2014/2015,Ivaiporã,-24.248,-51.685,PR,2015-01-07,Jan
2014/2015,Jacarezinho,-23.161,-49.969,PR,2015-01-08,Jan
2014/2015,Jacutinga,-27.729,-52.535,RS,2015-02-17,Feb
2014/2015,Jaguapitã,-23.113,-51.532,PR,2015-01-07,Jan
2014/2015,Jaguariaíva,-24.251,-49.706,PR,2014-12-22,Dec
2014/2015,Janiópolis,-24.142,-52.782,PR,2015-01-05,Jan
2014/2015,Jari,-29.291,-54.224,RS,2015-01-15,Jan
2014/2015,Joia,-28.647,-54.122,RS,2015-01-16,Jan
2014/2015,Júlio de Castilhos,-29.227,-53.682,RS,2015-01-09,Jan
2014/2015,Juranda,-24.42,-52.843,PR,2015-01-16,Jan
2014/2015,Lagoa Vermelha,-28.209,-51.526,RS,2015-02-19,Feb
2014/2015,Londrina,-23.31,-51.163,PR,2015-01-02,Jan
2014/2015,Maçambara,-29.143,-56.065,RS,2015-03-02,Mar
2014/2015,Mamborê,-24.319,-52.53,PR,2015-01-02,Jan
2014/2015,Manoel Viana,-29.589,-55.483,RS,2015-02-25,Feb
2014/2015,Marilândia do Sul,-23.745,-51.308,PR,2015-01-12,Jan
2014/2015,Maringá,-23.425,-51.939,PR,2015-01-23,Jan
2014/2015,Maripá,-24.418,-53.83,PR,2015-01-08,Jan
2014/2015,Mato Castelhano,-28.278,-52.192,RS,2015-02-19,Feb
2014/2015,Mauá da Serra,-23.901,-51.229,PR,2015-01-15,Jan
2014/2015,Não-Me-Toque,-28.459,-52.821,RS,2015-02-17,Feb
2014/2015,Nonoai,-27.362,-52.771,RS,2015-01-09,Jan
2014/2015,Nova Santa Rosa,-24.466,-53.953,PR,2015-01-19,Jan
2014/2015,Nova Tebas,-24.438,-51.945,PR,2015-01-07,Jan
2014/2015,Novo Machado,-27.574,-54.505,RS,2015-01-06,Jan
2014/2015,Palmeira,-25.429,-50.006,PR,2014-12-30,Dec
2014/2015,Palmeira das Missões,-27.899,-53.314,RS,2014-12-16,Dec
2014/2015,Palotina,-24.284,-53.84,PR,2014-12-22,Dec
2014/2015,Panambi,-28.293,-53.502,RS,2015-02-24,Feb
2014/2015,Paraíso do Sul,-29.669,-53.149,RS,2015-02-25,Feb
2014/2015,Passo Fundo,-28.263,-52.407,RS,2014-12-29,Dec
2014/2015,Peabiru,-23.913,-52.343,PR,2015-01-15,Jan
2014/2015,Pedro Osório,-31.864,-52.823,RS,2015-02-25,Feb
2014/2015,Pejuçara,-28.423,-53.656,RS,2015-01-25,Jan
2014/2015,Pinhal Grande,-29.346,-53.307,RS,2015-02-25,Feb
2014/2015,Pinhão,-25.696,-51.66,PR,2015-01-13,Jan
2014/2015,Piraí do Sul,-24.526,-49.949,PR,2015-01-07,Jan
2014/2015,Ponta Grossa,-25.095,-50.162,PR,2014-12-16,Dec
2014/2015,Pontão,-28.059,-52.677,RS,2015-02-05,Feb
2014/2015,Quatro Irmãos,-27.821,-52.439,RS,2015-02-17,Feb
2014/2015,Quinta do Sol,-23.852,-52.13,PR,2014-12-23,Dec
2014/2015,Rancho Alegre do Oeste,-24.307,-52.954,PR,2015-01-15,Jan
2014/2015,Reserva,-24.65,-50.851,PR,2015-01-07,Jan
2014/2015,Restinga Seca,-29.813,-53.375,RS,2015-02-25,Feb
